ID outcome
id152 0.6658794834
id153 -1.085730132
id154 -0.4207052202
id155 -0.5070202079
id156 0.727412718
id157 0.2835564981
id158 -0.2317720696
id159 -0.0013276501
id160 0.1139116753
id161 0.3277012244
id162 0.0435150941
id163 0.7635542694
id164 -0.0213105849
id165 -0.8644807176
id166 0.6080441734
id167 0.604542395
id168 -1.0915563823
id169 0.1373058395
id170 -0.6549824748
id171 -1.3415904752
id172 -1.392705267
id173 1.291286997
id174 0.3303155043
id175 -0.2775516769
id176 -0.2614985763
id177 0.3666013037
id178 0.5839312015
id179 0.6011468251
id180 1.0311987259
id181 -0.3160057085
id182 0.2702531801
id183 1.0636928907
id184 -0.1893385988
id185 -1.2736142985
id186 1.3832111855
id187 -0.3193605527
id188 0.9987543534
id189 0.0316020767
id190 -0.4510682762
id191 0.7140361726
id192 -1.9961692613
id193 -0.7108410792
id194 0.2273402403
id195 1.4921447879
id196 -0.5962251792
id197 -0.7786978845
id198 -0.0806855834
id199 -0.1246067919
id200 0.8826808853
id201 0.7279793179
id202 0.990352666
id203 0.0590614996
id204 -0.2556216669
id205 0.8556847351
id206 -0.5503409997
id207 -0.2573410251
id208 1.181339351
id209 -1.7950031884
id210 0.53849657
id211 0.4635975231
id212 -0.00037396
id213 0.3400327583
id214 -1.1711356956
id215 -0.2301101701
id216 -0.1245134974
id217 -0.0705579814
id218 0.7180702821
id219 0.5950247846
id220 -0.1209763338
id221 -0.0038627644
id222 -0.1356809753
id223 -0.5567651694
id224 -0.3828991459
id225 -0.0843227487
id226 1.5312348081
id227 -0.3774985555
id228 -0.2446741368
id229 0.2446523286
id230 0.0215767394
id231 0.4468165437
id232 -0.2786447301
id233 -0.3823600736
id234 -0.4688010063
id235 -0.368703217
id236 0.7517880605
id237 0.1263214599
id238 1.4115695977
id239 0.9881993535
id240 -0.6743450589
id241 -1.036494813
id242 -0.3398266897
id243 -0.4285225317
id244 -0.5568829135
id245 -0.4838833896
id246 0.1244409345
id247 0.7486889366
id248 -0.6950376164
id249 -0.6534530086
id250 0.4121423958
id251 0.0346053401
id252 -0.3338018801
id253 0.2474141483
id254 -0.7196822814
id255 0.7949572102
id256 -1.1436529627
id257 0.5338510074
id258 0.7053674052
id259 1.0988171126
id260 0.6322008593
id261 -0.2172158491
id262 0.5368150877
id263 0.6614877482
id264 -0.3037425235
id265 0.0529973024
id266 0.2695306095
id267 -0.0001268998
id268 -0.1304606884
id269 0.4489720614
id270 -0.1434019967
id271 -0.1198518415
id272 -1.0142700166
id273 1.310075658
id274 -0.4459383489
id275 -0.266233157
id276 -0.8850819371
id277 0.8331837426
id278 -0.2969917313
id279 -0.853668747
id280 -0.0338178276
id281 0.0341998656
id282 -1.5377456878
id283 -0.6639368205
id284 -0.0408634374
id285 -0.0861917084
id286 0.0470419678
id287 0.6215607522
id288 -0.2679957866
id289 -0.0766869431
id290 -1.8798257381
id291 0.7530892458
id292 -0.3495693356
id293 -1.6097056674
id294 0.1794928309
id295 0.4716558493
id296 -0.5053871158
id297 0.3653894135
id298 0.3425294861
id299 0.2279129721
id300 -0.3569345208
id301 -1.2276944619
id302 1.2299727862
id303 -0.4059661377
id304 -0.6798865842
id305 -1.0836452034
id306 -0.65693881
id307 0.4611801451
id308 0.6780561178
id309 0.8710562559
id310 -0.5273201651
id311 -0.7055171075
id312 0.3528773689
id313 0.1973002643
id314 -0.0637809265
id315 -0.6208003001
id316 0.3322793758
id317 -1.3424646277
id318 -0.3100200328
id319 0.2112924688
id320 -0.3488871453
id321 0.1660901578
id322 1.3322292203
id323 0.8043086672
id324 0.0609850717
id325 -0.772979601
id326 -0.4938858914
id327 0.2027808918
id328 0.0071049448
id329 0.3514255301
id330 -0.9927225696
id331 -0.5436246972
id332 -0.7399516026
id333 -0.3828494316
id334 -0.6627181751
id335 -0.0113771697
id336 0.3883862785
id337 0.4791707942
id338 0.0103760234
id339 -0.6970075966
id340 -0.1213854909
id341 -0.0039769871
id342 0.3223720702
id343 -0.0965498429
id344 -0.0831410566
id345 0.2033924425
id346 -0.5655154529
id347 -0.1951291066
id348 -1.5949718634
id349 0.2019625917
id350 1.6423506306
id351 -0.9589381637
id352 -0.4360845411
id353 -0.7263892673
id354 -0.0188131686
id355 0.278322724
id356 0.2085341623
id357 -0.0963439942
id358 0.2136823444
id359 0.6942219063
id360 1.0517025507
id361 0.2959676474
id362 0.5204480672
id363 -0.8430533067
id364 0.0680847291
id365 -0.4706186955
id366 -0.4725167123
id367 0.739391864
id368 -0.0397678876
id369 -0.1000872515
id370 -1.3402237346
id371 0.3319730807
id372 1.8575372465
id373 -0.8728501782
id374 -0.0165008334
id375 0.1076100795
id376 2.0355228195
id377 -0.7434375736
id378 -0.650311501
id379 0.6798380018
id380 -0.9668227579
id381 -0.2996452333
id382 0.1527429826
id383 0.9046141209
id384 -0.5654424009
id385 -0.5436760271
id386 0.5287792253
id387 -1.6412514455
id388 1.4449419516
id389 1.3636428566
id390 -0.7987364041
id391 0.9543071224
id392 0.072939672
id393 0.083171328
id394 0.0475713483
id395 1.2109360483
id396 -0.6060058275
id397 1.1426891648
id398 -0.1620549278
id399 1.0765846685
id400 0.009493508
id401 -0.3355638276
id402 0.3647719261
id403 -0.5162189197
id404 0.3306917904
id405 0.3024489161
id406 -0.2855588159
id407 1.0239420599
id408 0.8991974559
id409 -0.7387580384
id410 -0.3698248224
id411 -1.542101644
id412 0.8053873726
id413 -0.3189962243
id414 0.7391459588
id415 0.0628184827
id416 0.3685363579
id417 -0.7972231404
id418 0.7907935518
id419 -0.817507257
id420 -1.5372721072
id421 -0.634319232
id422 0.0285052448
id423 -0.4579606448
id424 -0.9942548285
id425 0.5907379901
id426 0.0428080733
id427 -0.2668462911
id428 -0.5230040257
id429 0.1865493778
id430 -0.4468660536
id431 0.5227696056
id432 0.9375585146
id433 -0.7981059314
id434 -1.2243286018
id435 -1.031272671
id436 -0.2268355952
id437 0.3902727682
id438 -0.2851566028
id439 -0.8496382664
id440 -0.1673936685
id441 1.1569171954
id442 -0.0544340163
id443 0.2331809352
id444 -0.7301500012
id445 -0.4818459679
id446 0.1817322031
id447 -0.8298408924
id448 0.0800515321
id449 1.1359142657
id450 0.2890011946
id451 1.1785569356
id452 0.4902697883
id453 -0.5216024161
id454 1.141734907
id455 0.1455037853
id456 1.7834413057
id457 0.4922414774
id458 -0.166664419
id459 -0.6508956457
id460 -0.0918494878
id461 -0.3705561023
id462 1.064138677
id463 -0.3954964471
id464 -0.4880986561
id465 0.3514904686
id466 -0.3375252633
id467 0.3658211345
id468 -0.6747324322
id469 -0.5094419013
id470 0.5598162166
id471 1.4760079462
id472 0.7739926393
id473 -0.9690985123
id474 0.1421374304
id475 0.0324860684
id476 -0.3515245036
id477 0.9040254367
id478 -0.6133704613
id479 -0.7718724439
id480 0.7214187856
id481 -0.9745873415
id482 0.3095109662
id483 0.3307577959
id484 0.3961141563
id485 0.5623844713
id486 0.1479286248
id487 0.3744223544
id488 -0.3672748357
id489 -0.6982549381
id490 0.7204566908
id491 -0.3957623845
id492 -0.2984112027
id493 -0.1227974273
id494 -0.7985676538
id495 -0.3792987819
id496 -0.9745359039
id497 0.4246501864
id498 0.5964029601
id499 -0.1574806056
id500 0.1152003787
